Name,Age,Photo,Photo source,Date,Source ref,Location,Country,Latitude,Longitude,Cause of death,Source,Permalink,
Vulgo L. H. Santos,,2017_03_18_Vulgo-LH-Santos.jpg,,18-Mar-17,,"Vitória, Espírito Santo",Brazil,-20.299683,-40.301633,shot,"Vulgo was shot on the street. No other details were reported.

His Facebook profile is https://www.facebook.com/menor.lh.9.

https://homofobiamata.wordpress.com/2017/03/18/vulgo-lh-santos-tiros-es-vitoria/ [BROKEN LINK]

https://www.facebook.com/photo.php?fbid=1819460505045612&set=a.1477344329257233.1073741828.100009450415562&type=3&theater",http://tdor.translivesmatter.info/reports/2017/03/18/vulgo-l-h-santos_vitoria-espirito-santo-brazil_c5d02426,
H. Ramirez Calderon,40,,,19-Mar-17,20-Mar-17/H. Ramirez Calderon,Guanajuato,Mexico,21.015851,-101.25287,shot,"H. was shot 6 times in the street at 6:15am on Sunday 19th March. Neighbours reported hearing gunshots, and upon investigration they found a trans woman lying near the corner of 5 de Febrero street.

Seeing that there was a lot of blood, they asked for the support of the emergency corps, but nothing could be done, because the person had already died in the place.

https://periodicocorreo.com.mx/405370-2/",http://tdor.translivesmatter.info/reports/2017/03/19/h-ramirez-calderon_guanajuato-mexico_2b335eda,
Paola Ponce,23,2017_03_19_Paola-Ponce.jpg,,19-Mar-17,20-Mar-17/Paola,"Matamoros, Tamaulipas",Mexico,25.870474,-97.506676,"tortured, raped and beaten","Paola was tortured, raped and beaten to death. Her killer then threw her body into the street a short distance from her home.

> According to her brother, the woman was engaged in sex work and every day she placed herself on Avenida Marte R. Gómez, at the intersection with Mar Caribe Street, in the Valle de Aragón neighborhood to wait for her clients.
> 
> A partner of Paola says that the last time he saw her was boarding a green Jeep Cherokee car, model of 2010, which was driven by a man. That was at 9 o’clock at night. Twelve hours later the neighbors found his body in a vacant lot, apparently the woman was dragged to that place.

http://desastre.mx/mexico/paola-fue-violada-y-asesinada-por-ser-trans-en-tamaulipas/

http://www.hoytamaulipas.net/notas/287437/Identifican-a-hombre-vestido-de-mujer-asesinado-en-Matamoros.html

http://www.cristianosgays.com/tags/colonia-valle-de-aragon/",http://tdor.translivesmatter.info/reports/2017/03/19/paola-ponce_matamoros-tamaulipas-mexico_e1f93360,
Alphonza Watson,38,2017_03_22_Alphonza-Watson.jpg,,22-Mar-17,22-Mar-17/Alphonza Watson,"Baltimore, Maryland",USA,39.290443,-76.612333,shot,"Alphonza was shot in the stomach after an argument with two men at about 4:15 am. She was taken to Johns Hopkins Hospital but was pronounced dead shortly after arrival.

According to witnesses, someone was heard shouting for help and two men were seen running away and getting into a car.

https://mic.com/articles/171840/alphonza-watson-38-year-old-transgender-woman-killed-in-baltimore

http://www.pinknews.co.uk/2017/03/22/eighth-trans-woman-shot-and-killed-in-the-us-this-year/

http://www.baltimoresun.com/news/maryland/crime/bs-md-ci-guilford-homicide-20170322-story.html",http://tdor.translivesmatter.info/reports/2017/03/22/alphonza-watson_baltimore-usa_b3655a77,
Paola Bracho,40,,,22-Mar-17,22-Mar-17/Paola,Street Joao Candido do Camara ,Brazil,-22.21648,-54.812,stabbed,"Paola was beaten and stabbed at least 17 times by a group of sex workers, apparently following a dispute over work. The perpetrators fled in a vehicle.

Five of the six tried for her murder were convcted in February 2018.

http://www.topmidianews.com.br/policia/cinco-travestis-sao-condenadas-por-morte-de-paolla-bracho/84528/

https://homofobiamata.wordpress.com/2017/03/22/paola-bracho-prof-sexo-40-anos-facadas-ms-dourados/ [BROKEN LINK]

https://bocadopovonews.com.br/travesti-e-morto-por-grupo-de-oito-pessoas-em-dourados/

http://www.redenewsms.com/2017/03/em-briga-por-ponto-de-prostituicao.html",http://tdor.translivesmatter.info/reports/2017/03/22/paola-bracho_street-joao-candido-do-camara-brazil_17f01ef8,
Paulina Ferreira,,2017_03_23_Paulina.jpg,https://www.facebook.com/photo.php?fbid=1699975206986639&set=a.1425799267737569.1073741826.100009225298372&type=3&theater,23-Mar-17,23-Mar-17/Paulina,Recife,Brazil,-8.058108,-34.897905,shot,"Paulina was shot 5 times in the chest, breast and face by two men on a motorcycle. She tried to run away only to fall dead just a few meters away.

Her Facebook profile is https://www.facebook.com/profile.php?id=100009225298372.

https://goqueer.blogspot.com/2017/04/brazil-transgender-woman-executed-in.html

https://homofobiamata.wordpress.com/2017/03/23/paulina-22-anos-tiros-pe-recife/ [BROKEN LINK]

http://www.tvtribunape.com.br/video/8812

https://www.facebook.com/groups/pgmreal/permalink/1465506530189310/",http://tdor.translivesmatter.info/reports/2017/03/23/paulina_recife-brazil_8a76b777,
Name Unknown,,,,24-Mar-17,,"Porto Da Areia, Paraíba",Brazil,-7.11777,-34.88583,not reported,"The victim was found dead with head wounds on a beach. Her identity and cause of death were not reported.

https://homofobiamata.wordpress.com/2017/03/24/nao-identificada-paraiba/ [BROKEN LINK]

https://www.facebook.com/sergio.brito.50309/posts/1016299595137869",http://tdor.translivesmatter.info/reports/2017/03/24/name-unknown_porto-da-areia-paraiba-brazil_34320394,
Wilka,40,2017_03_26_Wilka.jpg,,26-Mar-17,26-Mar-17/Uilca,Vitória de Santo Antão,Brazil,-8.120865,-35.293027,stabbed,"Wilka was on her way back from a friend’s house to her home in Loteamento Luiz Gonzaga when she was attacked and stabbed in the abdomen, neck and back. A friend reported that she was murdered after a robber realised that she was transgender.

> “Wherever you are, good rest” 
> “Now you are free from the murderers of the earth.”

Note that the TGEU list gives her name as “Uilca”, but her friends called her Wilka so that is the name given here.

Please also note that the photos shown in the links below are extremely distressing. Do not click on them unless you are sure you can handle what you will see.

https://goqueer.blogspot.com/2017/04/brazil-transgender-woman-is-brutally.html

https://homofobiamata.wordpress.com/2017/03/26/wilka-40-anos-facadas-vitoria-de-sto-antao-pe/ [BROKEN LINK]

http://www.gaystarnews.com/article/trans-woman-wilka-stabbed-neck/

https://www.facebook.com/HeymillyMaynard/posts/1150804081711670

http://nossavitoriape.com/2017/03/em-vitoria-travesti-e-morta-facadas-no-loteamento-luiz-gonzaga.html

http://pernambucoconectado.com.br/2017/03/26/em-vitoria-de-santo-antao-travesti-e-brutalmente-assassinado/",http://tdor.translivesmatter.info/reports/2017/03/26/wilka_vitoria-de-santo-antao-brazil_383a6ebf,
Name Unknown,33,,,28-Mar-17,,"Juiz de Fora, Minas Gerais",Brazil,-21.760953,-43.350113,shot,"The victim was shot dead in Juiz de Fora on the night of Tuesday 28th March.

She had four gunshot wounds to the body, two in the thoracic region and two in the left arm.

http://g1.globo.com/mg/zona-da-mata/noticia/2017/03/homossexual-e-morto-no-bairro-vila-esperanca-ii-em-juiz-de-fora.html

http://www.gay1.com.br/2017/03/travesti-e-morta-no-bairro-vila-esperanca-ii-em-juiz-de-fora/",https://tdor.translivesmatter.info/reports/2017/03/28/name-unknown_juiz-de-fora-minas-gerais-brazil_888c9dd6,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
